Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.09,1.534,1.278,1.394,0.301,100.0,0.0,0.168,0.087,1.534,1.278,1.394,0.148,0.0,0.4,2.5,2.5,2.5,2.5,0.119,0.0,0.0,0.0,0.0,0.119,0.11,1.96e-06
0.11,1.994,1.661,1.812,0.35,100.0,0.0,0.217,0.123,1.994,1.661,1.812,0.197,0.0,0.4,2.5,2.5,2.5,2.5,0.07,0.0,0.0,0.0,0.0,0.07,0.11,0.0006694
0.127,2.235,1.862,2.032,0.35,100.0,0.0,0.217,0.14,2.235,1.862,2.032,0.197,0.0,0.4,2.5,2.5,2.5,2.5,0.07,0.0,0.0,0.0,0.0,0.07,0.11,0.001162
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.7,1.91,0.0,1.27,1.58,0.108,0.08,0.02,0.0,0.08,0.108,0.0,0.00192
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.18,1.46,0.128,0.08,0.02,0.0,0.08,0.128,0.0,0.000928
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.11,1.37,0.148,0.08,0.02,0.0,0.08,0.148,0.0,0.000328
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.14,1.41,0.14,0.08,0.02,0.0,0.08,0.14,0.0,0.000592
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.7,1.91,0.0,1.14,1.14,0.14,0.0,0.02,0.0,0.0,0.14,0.0,0.0008
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.14,1.41,0.14,0.08,0.02,0.0,0.08,0.14,0.0,0.00056
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.14,1.41,0.14,0.08,0.02,0.0,0.08,0.14,0.0,0.0006
0.16,2.088,1.74,1.898,0.624,100.0,0.0,0.224,0.128,2.208,1.84,2.007,0.224,0.0,0.6,1.91,0.0,1.14,1.41,0.14,0.08,0.02,0.0,0.08,0.14,0.0,0.000608
0.06,1.728,1.44,1.571,0.5,100.0,0.0,0.1,0.06,1.656,1.38,1.505,0.1,0.0,0.65,1.78,0.67,1.59,2.2,0.264,0.11,-0.06,0.0,0.11,0.144,0.08,0.0
